id,date,text,pID
0,February,"On Division Street, in RV in front of Best Buy.",2
1,Feb. 29,"Move RV just before police sweep, to Bryant Street near Alameda Street.",2
2,Mid-March,"Move RV back to Division, in front of OfficeMax store near Harrison Street.",2
3,April,"Relocate RV to original spot on Division, in front of Best Buy.",2
